loss,events,condition,mean_cosine,positive_phrase_percent
log_quadrature_bicul,1,pitch,0.9317047350130726,100.0
log_quadrature_bicul,2,pitch,0.4627268996341083,94.708251953125
log_quadrature_bicul,4,pitch,0.2331091329256017,86.8408203125
log_quadrature_bicul,1,time,0.9842683321232364,100.0
log_quadrature_bicul,2,time,0.519595940659485,84.48486328125
log_quadrature_bicul,4,time,0.2878872158292488,76.94091796875
fading,1,joint,0.7546691974727201,97.8515625
fading,2,joint,0.40237341840839924,85.052490234375
fading,4,joint,0.2633544798314904,80.26123046875
fading,6,joint,0.16175869259293763,73.13232421875
fading,8,joint,0.1211320483947937,68.603515625
fading,1,pitch,0.7753647045932707,100.0
fading,2,pitch,0.46563197654839666,93.804931640625
fading,4,pitch,0.24854750046396187,86.56005859375
fading,1,time,0.9887646656135813,100.0
fading,2,time,0.491457425365524,82.50732421875
fading,4,time,0.2871471730198152,76.45263671875
