events,profile,perturbation,metric,variant,phrases,mean,std,median
1,independent,initialisation,zero_gradient,cel_06,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_07,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_08,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_09,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_10,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_11,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_12,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_13,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_14,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_15,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_01_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_02_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_03_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_04_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_05_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_06_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_07_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_08_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_09_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_10_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_11_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_12_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_13_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_14_lw,30,0.0,0.0,0.0
1,independent,initialisation,zero_gradient,cel_15_lw,30,0.0,0.0,0.0
1,independent,simultaneous,correct_coordinate_drift,cel_01,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_02,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_03,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_04,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_05,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_06,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_07,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_08,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_09,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_10,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_11,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_12,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_13,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_14,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_15,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_01_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_02_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_03_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_04_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_05_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_06_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_07_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_08_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_09_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_10_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_11_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_12_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_13_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_14_lw,0,,,
1,independent,simultaneous,correct_coordinate_drift,cel_15_lw,0,,,
1,independent,simultaneous,joint_cosine,cel_01,30,0.7699045341937552,0.16425337693070177,0.8178980947696213
1,independent,simultaneous,joint_cosine,cel_02,30,0.714508318841896,0.12997037471859035,0.7312376728831527
