loss,label,cardinality,target_index,target_id,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,initial_loss,reported_loss,terminal_loss,updates,stopped_by,lr_reductions,target_f0_hz,target_onset_seconds,reported_f0_hz,reported_onset_seconds
single_stft,SS,1,46,C01-T0046,1.8401480339491627e-07,1.5472556569307017e-07,1.4859974510323052e-06,0.10223387688985151,2.6402664098857657e-10,7.570605525722606e-10,6911,patience,22,[140.5196649667235],[0.599344183413711],[140.5196649816595],[0.5993441832589854]
single_stft,SS,1,47,C01-T0047,544.9828163782969,0.2325803137255278,12.28174240033708,0.13801620647131946,0.1124414242471395,0.11244261213056829,1112,patience,4,[118.56864593079777],[0.6209541208918843],[162.43639378163834],[0.6211867012056098]
single_stft,SS,1,48,C01-T0048,1.8809354074278417e-07,1.5900614158681492e-09,2.406678810711363e-08,0.07550384755072942,3.149383454785459e-11,2.0455096675564806e-10,6654,patience,22,[302.49466785650844],[0.820045176092772],[302.4946678893736],[0.820045176091182]
single_stft,SS,1,49,C01-T0049,4.3879540001512396e-07,2.2969289359409117e-05,0.0004868427086502346,0.07760770838954656,2.8276174344571174e-08,2.9568174336743557e-07,4401,patience,13,[265.77280933939966],[1.1754689534722658],[265.77280927203736],[1.1754689305029764]
single_stft,SS,1,50,C01-T0050,3.164135620181696e-09,1.4517720359208397e-08,3.757365501285827e-07,0.10867086193636068,2.283250308039791e-11,1.0645473664047811e-09,6089,patience,22,[127.1193826171801],[0.9665331380586484],[127.11938261741241],[0.9665331380441307]
single_stft,SS,1,51,C01-T0051,686.4611326495269,0.010146735419436226,11.328019135437904,0.08744750959287236,0.035570203712756154,0.035578367769994165,1364,patience,4,[211.2516316557676],[1.3400007109720051],[314.05417061316507],[1.3399905642365857]
single_stft,SS,1,52,C01-T0052,2.134852294943812e-08,1.1506351427215122e-08,1.9734507385207906e-07,0.09244219042543325,2.039437877630384e-11,2.9331123217435694e-10,6343,patience,22,[161.17623697860608],[1.5065485179256333],[161.17623698059361],[1.5065485179371396]
single_stft,SS,1,53,C01-T0053,1197.6908182148497,1.6986735766147398,17.909657879919976,0.17283683597605562,0.10537174681530269,0.10537835322526393,1135,patience,4,[103.31861029226448],[0.40669219873200485],[206.36178421638112],[0.4083908723086196]
single_stft,SS,1,54,C01-T0054,1.942179750358264e-09,1.2079226507921703e-09,6.330986379807168e-09,0.07857952828871784,1.6871774645357566e-12,7.649599617251453e-10,6540,patience,22,[275.0711387032844],[0.79637117478304],[275.0711387029759],[0.7963711747842479]
single_stft,SS,1,55,C01-T0055,1.1525340681828311e-07,9.108247489564292e-08,1.3751658952218784e-06,0.07937415756898215,1.2196848445337058e-10,1.4218414491654182e-09,5966,patience,21,[258.9679962689521],[1.2834654486764316],[258.9679962861924],[1.2834654487675141]
single_stft,SS,1,56,C01-T0056,7.811085112052751e-09,2.2306601010768645e-09,1.0751168482134602e-07,0.07541823497247085,3.2556380024954877e-12,8.188377533961644e-10,6266,patience,22,[304.8821494585024],[1.431744915857062],[304.88214945987795],[1.4317449158592928]
single_stft,SS,1,57,C01-T0057,2.2389530229816046e-07,1.205071598064933e-07,1.164203782783968e-06,0.08537320566063844,2.0637687283353397e-10,8.747322352722872e-10,6822,patience,22,[191.9739908247439],[1.2004337657919302],[191.97399079991646],[1.200433765671423]
single_stft,SS,1,58,C01-T0058,5.211484577216652e-08,6.252220963176569e-09,7.531594957197177e-08,0.0992188140977072,2.5133287351477685e-11,2.5261438983836884e-10,6745,patience,22,[170.25668877877862],[0.37643853404022803],[170.2566887839038],[0.37643853404648026]
single_stft,SS,1,59,C01-T0059,2086.229552714491,501.6886967415295,22.453420506837578,0.10505297707277012,0.07393608736633137,0.07410899943163127,1347,patience,4,[93.98352520644914],[1.7969481754149366],[313.6171413404437],[1.295259478673407]
single_stft,SS,1,60,C01-T0060,0.00021629033604142478,0.0001381762166907663,0.006328339268193959,0.10278095801255861,2.724474062458131e-07,3.5065274535437047e-06,3428,patience,10,[135.22276385936908],[0.8665685701577441],[135.22278075331758],[0.8665687083339608]
single_stft,SS,1,61,C01-T0061,1.7116708050934903e-08,1.600430898918148e-08,9.055982488627558e-08,0.09203179857270258,2.339357152721545e-11,4.4335702289625253e-10,6178,patience,22,[195.68388238062857],[0.7133618630739789],[195.68388238256333],[0.7133618630579746]
single_stft,SS,1,62,C01-T0062,1191.268663245044,1.2409610374399804,15.278207729438856,0.1425182802480255,0.09723970846551229,0.09725195001509401,1139,patience,4,[100.63094057948919],[0.9792855554024913],[200.24938874659594],[0.9805265164399313]
single_stft,SS,1,63,C01-T0063,1202.5060430389362,0.7181080555875852,9.343438518937857,0.09939319602706682,0.03614423997903678,0.03614614536615715,1442,patience,4,[142.67933837058249],[1.6296856604654901],[285.7720460146414],[1.6304037685210777]
single_stft,SS,1,64,C01-T0064,1197.2974768807223,1.2375569230589356,14.309364630186437,0.14170404983912152,0.12469530415160587,0.12470346573517571,1036,patience,4,[81.5227028736175],[0.9455582429491096],[162.79108413524187],[0.9467957998721686]
single_stft,SS,1,65,C01-T0065,2.024290068902701e-07,3.47499806707674e-09,8.35488967991279e-08,0.09145462194218239,6.106616088989858e-11,4.292779183088988e-10,6187,patience,22,[206.8004054404908],[0.5649063829387158],[206.80040546467148],[0.5649063829352408]
single_stft,SS,1,66,C01-T0066,1.2992540376899342e-08,5.3019810763998976e-09,1.981257979938717e-07,0.1316011408698972,1.3299864135638483e-11,4.79675255449449e-10,7064,patience,22,[124.90331035230268],[0.2682942855818573],[124.90331035324004],[0.2682942855765553]
single_stft,SS,1,67,C01-T0067,0.0006363072570181316,0.0006539524117776807,0.012086122039294638,0.09125127893705233,9.612207734689808e-07,2.4867260073192923e-06,3241,patience,10,[198.25947268296247],[0.7755402634393536],[198.25939981360193],[0.7755396094869418]
single_stft,SS,1,68,C01-T0068,3.1626541385776363e-07,3.182898389297861e-08,3.723113291515804e-07,0.07899290488769264,7.841239635575021e-11,4.918254607605736e-10,7242,patience,22,[292.68101073825073],[0.4996910306668478],[292.68101068478313],[0.49969103069867676]
single_stft,SS,1,69,C01-T0069,2284.830675243115,1.7053500312309566,12.669821083021532,0.11663977077008926,0.0635956206017606,0.0635961067682507,3074,patience,5,[85.4437882092918],[1.7431424838634617],[319.77852998388437],[1.7448478338946927]
single_stft,SS,1,70,C01-T0070,1193.714613793491,1.729798342861022,15.249357297856315,0.1710876377939538,0.13664347987019837,0.13681018660090144,1053,patience,4,[80.49483015653624],[0.7315895951475875],[160.40623396961652],[0.7333193934904485]
single_stft,SS,1,71,C01-T0071,1113.1288284594793,0.2160053014499952,14.94980957834962,0.10293562073256164,0.04502437958355361,0.0450284116592258,2912,patience,4,[168.20111548538893],[0.22511603176118686],[319.93850441448006],[0.22533203706263685]
single_stft,SS,1,72,C01-T0072,2.981359159548447e-07,5.022726679015932e-08,4.022730000637871e-07,0.13580764890468716,2.2265957925536077e-10,5.553324728580585e-10,6458,patience,22,[122.84387590691003],[0.2976168717494441],[122.84387588575507],[0.29761687169921686]
single_stft,SS,1,73,C01-T0073,1680.8809069337742,390.87354164306134,24.612551962406943,0.11607542184100306,0.08631298204446503,0.08660173437441528,1503,patience,4,[119.48643607473713],[1.590237822228551],[315.48708428724075],[1.1993642805854896]
single_stft,SS,1,74,C01-T0074,734.8156770966018,0.4938898092581301,11.340867845003388,0.1324100911331274,0.10317401002738914,0.10318494173231475,1818,patience,7,[114.92719617315778],[1.143298620643415],[175.6942081355313],[1.1437925104526732]
single_stft,SS,1,75,C01-T0075,1.3444445556842766e-08,5.5990767577895895e-09,2.0572832545372955e-07,0.08547185436515663,1.1578515080876535e-11,6.194303594923294e-10,6864,patience,22,[162.04028018620815],[1.3447266014756436],[162.04028018746652],[1.3447266014700445]
single_stft,SS,1,76,C01-T0076,5.267786207241443e-10,1.13518083821873e-08,1.1234185461734345e-07,0.07462903231921394,1.364178486883041e-11,2.812536678404348e-10,6773,patience,22,[299.7497747706601],[1.3151959059976956],[299.74977477056893],[1.3151959060090475]
single_stft,SS,1,77,C01-T0077,3.959467420600049e-07,1.34807720542085e-07,3.296671748188518e-06,0.07867065315404888,2.2044993933431264e-10,6.963123165352056e-09,5069,patience,18,[271.52013560480594],[1.434523171642816],[271.5201356669047],[1.4345231715080082]
single_stft,SS,1,78,C01-T0078,2.815108146592138e-08,3.7057024115938475e-09,6.50635268618154e-08,0.08529513328249855,8.993341747686188e-12,2.0433821646171089e-10,6934,patience,22,[234.50235522051616],[0.5347217593006459],[234.50235522432934],[0.5347217592969402]
single_stft,SS,1,79,C01-T0079,1896.5506901015217,0.9525239943184438,12.040660163859346,0.11954667706312193,0.0580251419453934,0.05805813770363511,1256,patience,4,[101.83821237038045],[1.6829505800810642],[304.56241366778465],[1.6839031040753827]
single_stft,SS,1,80,C01-T0080,1198.547696770494,0.7291582949399134,17.68121212032177,0.17101365950850286,0.10121781579791783,0.10121787991360755,1157,patience,4,[105.55244140373969],[0.2901221048865865],[210.92786471839557],[0.29085126318152643]
single_stft,SS,1,81,C01-T0081,1197.641528389925,0.7261956365192113,16.726185275973567,0.16372898129559224,0.09636523807363931,0.09637624879202722,1230,patience,4,[106.45486483238655],[0.5312151110308894],[212.6198788077626],[0.5319413066674086]
single_stft,SS,1,82,C01-T0082,4.342894044384593e-07,1.6530110613643956e-07,1.924527249473147e-05,0.09227700607719601,3.2021836511074704e-10,7.768618954387219e-10,7021,patience,22,[187.7793857608902],[0.6764972538897928],[187.77938571378473],[0.6764972540550939]
single_stft,SS,1,83,C01-T0083,1.6120198509383954e-07,2.4526103370448027e-08,2.3252637689031185e-07,0.08529685662965711,5.782351239767793e-11,4.5400992554112713e-10,6552,patience,22,[236.40940877581818],[0.4859304633603548],[236.4094087538052],[0.4859304633848809]
single_stft,SS,1,84,C01-T0084,981.0946137878293,0.22866016507028242,9.123490685726455,0.08880357386230456,0.03827766872253154,0.03828048509007598,3435,patience,5,[181.52740574754844],[1.6920442734162677],[319.9322035160545],[1.692272933581338]
single_stft,SS,1,85,C01-T0085,1.1724887727382338e-07,1.0920353510357472e-07,2.255997893153835e-06,0.09109579797959887,1.6683791966264998e-10,3.5045841928433e-10,6518,patience,22,[193.7253335468324],[0.7851224343081302],[193.72533353371222],[0.7851224344173338]
single_stft,SS,1,86,C01-T0086,1192.8948719188656,0.7312116515361122,10.767848285749807,0.1364481840862,0.06696968456445615,0.06697231042473813,1373,patience,5,[97.76664731145993],[1.5346198670777988],[194.7324542510371],[1.535351078729335]
single_stft,SS,1,87,C01-T0087,1199.9538921896412,0.9961648305209791,17.9872480349301,0.15563714431075384,0.08789735416527744,0.08791219178647638,1196,patience,4,[113.7134312171438],[0.22093301566025011],[227.42080547450678],[0.2219291804907711]
single_stft,SS,1,88,C01-T0088,1195.2362906920823,0.7224395108913484,11.429724048991565,0.09375170352329762,0.03610316145621441,0.03610329584639501,1242,patience,4,[157.65834386612025],[1.557378308819165],[314.4502466188258],[1.5581007483300564]
single_stft,SS,1,89,C01-T0089,1143.247354128462,927.8193586754543,24.390197662374785,0.09237413939007785,0.0676042481099509,0.06760951253448165,2533,patience,6,[164.78128442317905],[1.5828166087394349],[318.9341363878679],[0.6549972500639806]
single_stft,SS,1,90,C01-T0090,1750.9005767588042,1.202771628130428,11.570195841361556,0.10907088337619125,0.054694816480230043,0.054694816480230043,3008,patience,5,[116.35656230906044],[1.7027776581729783],[319.903414792796],[1.7039804298011088]
single_stft,SS,1,91,C01-T0091,5.374101164079548e-09,1.3661294318012551e-09,1.760578774485811e-08,0.10191582509007394,4.169608330716038e-12,2.8639063872865585e-10,5917,patience,22,[141.38344866576273],[0.5811972061804371],[141.38344866532384],[0.5811972061818033]
single_stft,SS,1,92,C01-T0092,0.0005734634729748223,7.796174217311602e-05,0.0015383661415251109,0.08707209483921442,2.2292881181971926e-07,1.3813492500323807e-06,3594,patience,12,[223.36117067790275],[0.7201649589629231],[223.3610966905343],[0.7201648810011809]
single_stft,SS,1,93,C01-T0093,3.128564074472706e-08,3.4267810811172694e-08,8.108854014052122e-07,0.1071765063055564,5.747184382963522e-11,4.854902368590205e-10,6463,patience,22,[151.46009379494305],[0.27728199423733124],[151.46009379768014],[0.27728199420306343]
single_stft,SS,1,94,C01-T0094,1184.8465661349069,0.7320106791894876,14.455952836583442,0.05322573500081929,0.042806685040509426,0.04280945537188334,1093,patience,4,[319.8858845141209],[1.0238939615893201],[161.3490623776288],[1.0231619509101306]
single_stft,SS,1,95,C01-T0095,1.4979484319610492e-08,1.591771159326072e-08,3.8621963869581336e-07,0.0698433221182157,2.2768665998168882e-11,5.001210749497533e-10,6421,patience,22,[229.4855795340872],[1.0187741707562146],[229.4855795360728],[1.0187741707721323]
single_stft,SS,1,96,C01-T0096,708.3044140173243,0.23072633216658645,11.260757210024439,0.13536749464015427,0.11316738431846957,0.11316877119774855,1476,patience,5,[110.2400460169039],[1.0418962827963845],[165.96765129536254],[1.042127009128551]
single_stft,SS,1,97,C01-T0097,1203.8071013248064,1.4925169796420334,14.941726519148848,0.15571116461789206,0.11022087803356856,0.11023527845280306,1090,patience,4,[86.28522446383043],[1.0977390581636646],[172.95036064510703],[1.0992315751433066]
single_stft,SS,1,98,C01-T0098,5.346735054700957e-07,3.593503272725229e-08,4.5788387582617073e-07,0.07243083579847968,2.6596462202963723e-10,9.93462413130624e-10,6828,patience,22,[147.11143490997108],[1.0729119859277771],[147.11143486453724],[1.0729119858918421]
single_stft,SS,1,99,C01-T0099,1197.603412309607,0.7417925436103978,15.64612514987354,0.17730785682819977,0.12124397932688977,0.12124925897319075,1053,patience,4,[90.64109168275358],[0.6875608945916132],[181.0314038291024],[0.6883026871352236]
single_stft,SS,1,100,C01-T0100,2.0479618001445488e-07,2.2850721315137434e-08,5.172623021132257e-07,0.0780712086236308,4.9644625794123616e-11,4.758715618056896e-10,6365,patience,22,[294.9066914441598],[0.6647099882338449],[294.90669140927383],[0.6647099882109941]
single_stft,SS,1,101,C01-T0101,2.1087664947572193e-07,8.510925297855465e-08,8.17985667185257e-06,0.1158745009161348,2.0948102081353405e-10,1.0676273183858758e-09,6828,patience,22,[129.58466357046115],[1.261556048136694],[129.58466358624548],[1.2615560482218033]
single_stft,SS,1,102,C01-T0102,3.352808164436283e-06,6.030750343555269e-07,6.711417520675026e-06,0.07756430931416695,1.0348009147105424e-09,3.8912413552719915e-08,3770,patience,14,[310.42072559051553],[0.43544685310115405],[310.4207261916943],[0.4354468537042291]
single_stft,SS,1,103,C01-T0103,1012.4588519095248,0.2154012599429045,8.592815791637335,0.0875373142948695,0.035216122576739506,0.0352161226367555,3981,patience,5,[178.2825680366065],[1.7589195376458826],[319.95773790216265],[1.7591349389058255]
single_stft,SS,1,104,C01-T0104,1193.0613840940468,1.2277045869333314,11.58111583381227,0.14885000500735865,0.08062164322747252,0.08063254774958473,1174,patience,4,[92.04172122795643],[1.418478071644462],[183.3471306304242],[1.4197057762313954]
single_stft,SS,1,105,C01-T0105,968.8557405489217,0.004932706893223671,14.027140001384454,0.09711705979977299,0.04576085891311039,0.045765516587656964,2933,patience,7,[182.72457498018494],[0.3862756563639732],[319.7735167737718],[0.38627072365708]
single_stft,SS,1,106,C01-T0106,1198.1495279825328,0.9768563926808582,17.722423502964688,0.1712717234818192,0.1042017983095166,0.10421270549911732,1148,patience,4,[103.58851394939548],[0.4442034192142428],[206.95569995302344],[0.44518027560692364]
