events,condition,target,candidates,loss,metric,mean,eligible
2,pitch,C02-T002,512,bidirectional_cumulative_energy,dot_directed,0.970703125,512
2,pitch,C02-T002,512,log_quadrature_bicul,dot_directed,0.9736328125,512
2,pitch,C02-T002,512,fading,dot_directed,0.986328125,512
2,pitch,C02-T002,512,waveform_l1,cosine,-0.0004960615015919247,512
2,pitch,C02-T002,512,waveform_mse,cosine,-0.014037978379905164,512
2,pitch,C02-T002,512,single_stft,cosine,0.1168627041799245,512
2,pitch,C02-T002,512,linear_mss,cosine,0.06753122964434503,512
2,pitch,C02-T002,512,smooth_mss,cosine,0.1729334154215793,512
2,pitch,C02-T002,512,sot_published_composite,cosine,0.0974361883572487,512
2,pitch,C02-T002,512,linear_jtfot,cosine,0.15349408612668317,512
2,pitch,C02-T002,512,log_jtfot,cosine,0.18714293110012495,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,cosine,0.781703032567584,512
2,pitch,C02-T002,512,log_quadrature_bicul,cosine,0.7926593874488298,512
2,pitch,C02-T002,512,fading,cosine,0.7202993738048222,512
2,pitch,C02-T002,512,waveform_l1,phrase_success,0.19140625,512
2,pitch,C02-T002,512,waveform_mse,phrase_success,0.05859375,512
2,pitch,C02-T002,512,single_stft,phrase_success,0.28515625,512
2,pitch,C02-T002,512,linear_mss,phrase_success,0.36328125,512
2,pitch,C02-T002,512,smooth_mss,phrase_success,0.525390625,512
2,pitch,C02-T002,512,sot_published_composite,phrase_success,0.41796875,512
2,pitch,C02-T002,512,linear_jtfot,phrase_success,0.61328125,512
2,pitch,C02-T002,512,log_jtfot,phrase_success,0.6328125,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,phrase_success,0.919921875,512
2,pitch,C02-T002,512,log_quadrature_bicul,phrase_success,0.912109375,512
2,pitch,C02-T002,512,fading,phrase_success,0.921875,512
2,pitch,C02-T002,512,waveform_l1,zero_gradient,0.0,512
2,pitch,C02-T002,512,waveform_mse,zero_gradient,0.0,512
2,pitch,C02-T002,512,single_stft,zero_gradient,0.0,512
2,pitch,C02-T002,512,linear_mss,zero_gradient,0.0,512
2,pitch,C02-T002,512,smooth_mss,zero_gradient,0.0,512
2,pitch,C02-T002,512,sot_published_composite,zero_gradient,0.0,512
2,pitch,C02-T002,512,linear_jtfot,zero_gradient,0.0,512
2,pitch,C02-T002,512,log_jtfot,zero_gradient,0.0,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,zero_gradient,0.0,512
2,pitch,C02-T002,512,log_quadrature_bicul,zero_gradient,0.0,512
2,pitch,C02-T002,512,fading,zero_gradient,0.0,512
2,pitch,C02-T002,512,waveform_l1,original_coordinate_drift,0.9934546372440508,512
2,pitch,C02-T002,512,waveform_mse,original_coordinate_drift,0.9968632471661032,512
2,pitch,C02-T002,512,single_stft,original_coordinate_drift,0.7823526425113944,512
2,pitch,C02-T002,512,linear_mss,original_coordinate_drift,0.9728118931697091,512
2,pitch,C02-T002,512,smooth_mss,original_coordinate_drift,0.9707921822981374,512
2,pitch,C02-T002,512,sot_published_composite,original_coordinate_drift,0.9998270492719074,512
2,pitch,C02-T002,512,linear_jtfot,original_coordinate_drift,0.9815596519263117,512
2,pitch,C02-T002,512,log_jtfot,original_coordinate_drift,0.9627616534700728,512
2,pitch,C02-T002,512,bidirectional_cumulative_energy,original_coordinate_drift,0.6015645076843227,512
2,pitch,C02-T002,512,log_quadrature_bicul,original_coordinate_drift,0.5800918950924343,512
2,pitch,C02-T002,512,fading,original_coordinate_drift,0.7264508497718309,512
2,pitch,C02-T003,512,waveform_l1,both_directed,0.5947265625,512
2,pitch,C02-T003,512,waveform_mse,both_directed,0.552734375,512
2,pitch,C02-T003,512,single_stft,both_directed,0.658203125,512
2,pitch,C02-T003,512,linear_mss,both_directed,0.7294921875,512
2,pitch,C02-T003,512,smooth_mss,both_directed,0.7978515625,512
2,pitch,C02-T003,512,sot_published_composite,both_directed,0.8271484375,512
2,pitch,C02-T003,512,linear_jtfot,both_directed,0.7353515625,512
2,pitch,C02-T003,512,log_jtfot,both_directed,0.8330078125,512
2,pitch,C02-T003,512,bidirectional_cumulative_energy,both_directed,0.9326171875,512
2,pitch,C02-T003,512,log_quadrature_bicul,both_directed,0.9384765625,512
2,pitch,C02-T003,512,fading,both_directed,0.99609375,512
2,pitch,C02-T003,512,waveform_l1,pitch_directed,0.5947265625,512
2,pitch,C02-T003,512,waveform_mse,pitch_directed,0.552734375,512
2,pitch,C02-T003,512,single_stft,pitch_directed,0.658203125,512
2,pitch,C02-T003,512,linear_mss,pitch_directed,0.7294921875,512
2,pitch,C02-T003,512,smooth_mss,pitch_directed,0.7978515625,512
2,pitch,C02-T003,512,sot_published_composite,pitch_directed,0.8271484375,512
2,pitch,C02-T003,512,linear_jtfot,pitch_directed,0.7353515625,512
2,pitch,C02-T003,512,log_jtfot,pitch_directed,0.8330078125,512
2,pitch,C02-T003,512,bidirectional_cumulative_energy,pitch_directed,0.9326171875,512
2,pitch,C02-T003,512,log_quadrature_bicul,pitch_directed,0.9384765625,512
2,pitch,C02-T003,512,fading,pitch_directed,0.99609375,512
2,pitch,C02-T003,512,waveform_l1,time_directed,,0
2,pitch,C02-T003,512,waveform_mse,time_directed,,0
2,pitch,C02-T003,512,single_stft,time_directed,,0
2,pitch,C02-T003,512,linear_mss,time_directed,,0
2,pitch,C02-T003,512,smooth_mss,time_directed,,0
2,pitch,C02-T003,512,sot_published_composite,time_directed,,0
2,pitch,C02-T003,512,linear_jtfot,time_directed,,0
2,pitch,C02-T003,512,log_jtfot,time_directed,,0
