target_id,events,variant,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,joint_event_error,updates,wall_seconds,stopped_by,best_loss,f0_hz,onset_seconds
C08-T0067,8,clockwise,71.17729047800161,160.62085862214937,17.93210124002541,0.17406988115198008,2636,202.83196634426713,patience,0.011871835632403101,"[231.95844090846896, 235.13736912478836, 93.51735751362646, 174.6793653183093, 105.30249949270085, 100.61794307231416, 192.19084612136552, 121.99189866652618]","[0.21638398183448165, 0.39874449378100624, 0.4160008765649519, 0.9253501179974284, 1.2046641907837263, 1.037913706980702, 1.6240686608135944, 1.7485132281045315]"
C08-T0068,8,clockwise,68.24451302116375,100.25437539356685,15.324011932633839,0.09091353372327637,1926,142.54831349104643,patience,0.013092211176324905,"[237.3384197720107, 191.94443310402437, 299.93026965638217, 181.62485773765718, 139.83052631195739, 156.7022747716664, 162.58529227180657, 170.57181166314723]","[0.4924983317026239, 0.6296775444113791, 0.7713137537869517, 1.3191077807291856, 1.4509130021859895, 1.3812761462803267, 1.6063217211898972, 1.662615642681941]"
C08-T0069,8,clockwise,128.87105910547695,103.29822956205486,11.795046194602799,0.1527477641961019,1972,144.85061366297305,patience,0.014597710851851752,"[265.36504025979383, 109.56405597855593, 174.68093373939794, 221.69665123036054, 159.55729041079033, 128.44821913380602, 243.56491725743493, 272.7724151593523]","[0.203779855401841, 0.4618373396331376, 0.7509147840237367, 0.9660664409133053, 1.1861678326062617, 1.389504881573199, 1.3760137028072768, 1.6081960458139155]"
C08-T0070,8,clockwise,501.21809854280434,195.28185625271198,25.279066608484325,0.3016560435604526,283,19.30067614838481,patience,0.021858192353018807,"[210.9526063667367, 114.18386581192462, 124.27958882568298, 119.92636198120312, 128.8404441364049, 117.21165315218028, 162.47271382458297, 163.3990670338716]","[0.45509811914851694, 0.6551546767651457, 0.7515500982750998, 0.7718686689972856, 0.8810193008275202, 1.1118342551251155, 1.3292483219119107, 1.7668753547356226]"
C08-T0071,8,clockwise,63.63524770849516,143.6822312835502,15.436109557813118,0.2309954534367114,2856,234.21530001610518,patience,0.009762469794384266,"[224.9107651074517, 122.8506556830243, 118.74913817764791, 147.17632298580278, 275.0006466717641, 93.96986442005033, 207.12848053800718, 86.30835446008435]","[0.22762366535391595, 0.38485237588319765, 0.6605233562187058, 1.1860822388442174, 1.385249983368363, 1.0962312481916388, 1.547749793209424, 1.7903145833565859]"
C08-T0072,8,clockwise,162.24894645760358,173.1179399948886,21.991492577669185,0.19084230921168316,422,30.523417867720127,patience,0.015484714596285106,"[229.80118962959776, 113.25994300253944, 115.55091044679742, 97.33825081496695, 117.9613336444248, 99.75652123552038, 177.84174425088938, 186.33351235908685]","[0.44576309832450167, 0.4747307108804584, 0.7732915398467777, 0.8555923188738761, 1.1354697067078428, 0.9473583120167921, 1.497895541214139, 1.7027115930939638]"
C08-T0073,8,clockwise,182.43911424607847,225.91320969596663,21.34274210655695,0.25690107886151675,1315,95.5037666624412,patience,0.022414504455451602,"[195.23570197942732, 167.52888723379297, 122.64427275630608, 159.12256010537558, 168.36462852923103, 114.88431328707077, 278.8933417071848, 287.20530181280435]","[0.2861574856149107, 0.4712093607809737, 0.7433943514504595, 0.8434946062964692, 1.1707922611870132, 1.2612396713277287, 1.5570128778025365, 1.7657493567889277]"
C08-T0074,8,clockwise,69.67893977066822,133.4749679362445,12.985461372030409,0.16667995806615152,2324,155.2230810644105,patience,0.010917470341009696,"[270.51973187559287, 150.80387076713743, 148.5517802413998, 131.2548857413564, 97.24447658374001, 210.09436411225778, 94.96967877438819, 134.97525912861576]","[0.6443182007237735, 0.6732631416475441, 1.1015234902462319, 1.131962169361741, 1.0189538301051966, 1.4451171471838653, 1.6076941972459047, 1.691122109125333]"
C08-T0075,8,clockwise,41.46562944855862,98.40706910875417,17.00900166868215,0.17265888127655757,3000,207.8000072389841,maximum updates,0.016173873554791305,"[163.21611026086984, 203.86955656289612, 188.2106033708522, 243.6767796064005, 204.4140628624298, 164.41176304199053, 195.99114471778805, 313.89231458722054]","[0.26204157717563065, 0.3516400124221187, 0.48683548582422637, 0.8391487586195934, 1.1978576449673886, 1.3114166818782438, 1.58240465140053, 1.7088821816336075]"
C08-T0076,8,clockwise,203.78821858349033,151.50448452466213,16.42163308488678,0.1937643810451341,1682,113.47686730325222,patience,0.013094899593311305,"[89.09757330333335, 156.642277337726, 127.4943698328284, 209.0221284058015, 111.19807874489224, 95.8653529974635, 101.65248241791785, 228.74639403069327]","[0.37075376110121394, 0.5484994117809581, 0.8480824884023752, 0.9429826453342851, 1.0265862042139149, 1.4289798070739141, 1.4751251018938873, 1.6103687227765249]"
