events,variant,reference,metric,n,median_variant_minus_reference,mean_variant_minus_reference,variant_better,variant_worse,tied
8,fading,clockwise,onset_mae_ms,150,-7.1239665109541885,-14.109177773242003,77,73,0
8,fading,clockwise,log_spectral_distance_db,150,-2.691516636537716,-2.5307640058106182,97,53,0
8,fading,clockwise,joint_event_error,150,-0.019967985912722502,-0.035579000370079834,94,56,0
8,fading_lw,clockwise_lw,pitch_mae_cents,150,-32.21281203091158,-41.173815272495155,94,56,0
8,fading_lw,clockwise_lw,onset_mae_ms,150,-26.086825324169748,-22.251737060314735,94,56,0
8,fading_lw,clockwise_lw,log_spectral_distance_db,150,-2.7453583547548233,-2.384261707447511,94,56,0
8,fading_lw,clockwise_lw,joint_event_error,150,-0.025696264082722242,-0.02820401995892117,100,50,0
8,fading_lw,fading,pitch_mae_cents,150,5.529202389128244,13.103552103588415,69,81,0
8,fading_lw,fading,onset_mae_ms,150,-1.1858862932891472,1.5567169924411797,82,68,0
8,fading_lw,fading,log_spectral_distance_db,150,0.7770076367455738,0.8615776753591785,64,86,0
8,fading_lw,fading,joint_event_error,150,-0.0018766598657671972,0.0038467632086879072,81,69,0
