events,condition,target,candidates,loss,metric,mean,eligible
2,pitch,C02-T000,256,waveform_mse,dot_directed,0.626953125,256
2,pitch,C02-T000,256,single_stft,dot_directed,0.609375,256
2,pitch,C02-T000,256,linear_mss,dot_directed,0.712890625,256
2,pitch,C02-T000,256,smooth_mss,dot_directed,0.76953125,256
2,pitch,C02-T000,256,sot_published_composite,dot_directed,0.564453125,256
2,pitch,C02-T000,256,linear_jtfot,dot_directed,0.7578125,256
2,pitch,C02-T000,256,log_jtfot,dot_directed,0.794921875,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,dot_directed,0.8515625,256
2,pitch,C02-T000,256,log_quadrature_bicul,dot_directed,0.8828125,256
2,pitch,C02-T000,256,fading,dot_directed,0.90234375,256
2,pitch,C02-T000,256,waveform_l1,cosine,0.15328162504988888,256
2,pitch,C02-T000,256,waveform_mse,cosine,0.13171266299390397,256
2,pitch,C02-T000,256,single_stft,cosine,0.1481779154473559,256
2,pitch,C02-T000,256,linear_mss,cosine,0.19488385658585416,256
2,pitch,C02-T000,256,smooth_mss,cosine,0.23645879604512943,256
2,pitch,C02-T000,256,sot_published_composite,cosine,-0.13562553734926083,256
2,pitch,C02-T000,256,linear_jtfot,cosine,0.21624519509216947,256
2,pitch,C02-T000,256,log_jtfot,cosine,0.2518495249493272,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,cosine,0.40825570405442485,256
2,pitch,C02-T000,256,log_quadrature_bicul,cosine,0.416702805152446,256
2,pitch,C02-T000,256,fading,cosine,0.4743885745592023,256
2,pitch,C02-T000,256,waveform_l1,phrase_success,0.28125,256
2,pitch,C02-T000,256,waveform_mse,phrase_success,0.25,256
2,pitch,C02-T000,256,single_stft,phrase_success,0.28125,256
2,pitch,C02-T000,256,linear_mss,phrase_success,0.3203125,256
2,pitch,C02-T000,256,smooth_mss,phrase_success,0.37109375,256
2,pitch,C02-T000,256,sot_published_composite,phrase_success,0.48046875,256
2,pitch,C02-T000,256,linear_jtfot,phrase_success,0.37890625,256
2,pitch,C02-T000,256,log_jtfot,phrase_success,0.42578125,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,phrase_success,0.41015625,256
2,pitch,C02-T000,256,log_quadrature_bicul,phrase_success,0.44921875,256
2,pitch,C02-T000,256,fading,phrase_success,0.51171875,256
2,pitch,C02-T000,256,waveform_l1,zero_gradient,0.0,256
2,pitch,C02-T000,256,waveform_mse,zero_gradient,0.0,256
2,pitch,C02-T000,256,single_stft,zero_gradient,0.0,256
2,pitch,C02-T000,256,linear_mss,zero_gradient,0.0,256
2,pitch,C02-T000,256,smooth_mss,zero_gradient,0.0,256
2,pitch,C02-T000,256,sot_published_composite,zero_gradient,0.0,256
2,pitch,C02-T000,256,linear_jtfot,zero_gradient,0.0,256
2,pitch,C02-T000,256,log_jtfot,zero_gradient,0.0,256
2,pitch,C02-T000,256,bidirectional_cumulative_energy,zero_gradient,0.0,256
2,pitch,C02-T000,256,log_quadrature_bicul,zero_gradient,0.0,256
2,pitch,C02-T000,256,fading,zero_gradient,0.0,256
2,pitch,C02-T000,256,waveform_l1,original_coordinate_drift,0.9976178750424904,256
2,pitch,C02-T000,256,waveform_mse,original_coordinate_drift,0.9987881353128946,256
2,pitch,C02-T000,256,single_stft,original_coordinate_drift,0.892174621326229,256
2,pitch,C02-T000,256,linear_mss,original_coordinate_drift,0.9336303109453157,256
2,pitch,C02-T000,256,smooth_mss,original_coordinate_drift,0.9601535570165638,256
2,pitch,C02-T000,256,sot_published_composite,original_coordinate_drift,0.9999017601821583,256
