events,condition,target,candidates,ties,reassigned_candidates,both_displaced_events,wall_seconds,peak_rss_kib
2,joint,C02-T005,256,0,134,512,3.1142575228586793,1485756
2,joint,C02-T006,256,0,130,512,3.091403347440064,1485756
2,joint,C02-T007,256,0,134,512,3.123971564695239,1485756
2,joint,C02-T008,256,0,123,512,3.114482562057674,1485756
2,joint,C02-T009,256,0,126,512,3.088143945671618,1485756
2,joint,C02-T010,256,0,131,512,3.1199546800926328,1485756
2,joint,C02-T011,256,0,137,512,3.095059140585363,1485756
2,joint,C02-T012,256,0,130,512,3.119363520294428,1485756
2,joint,C02-T013,256,0,132,512,3.1489212885499,1485756
2,joint,C02-T014,256,0,121,512,3.1087084468454123,1485756
2,joint,C02-T015,256,0,132,512,3.139354484155774,1485756
2,joint,C02-T016,256,0,132,512,3.0961025478318334,1485756
2,joint,C02-T017,256,0,134,512,3.1463384116068482,1485756
2,joint,C02-T018,256,0,127,512,3.1090050153434277,1485756
2,joint,C02-T019,256,0,132,512,3.116202280856669,1485756
2,joint,C02-T020,256,0,126,512,3.139332958497107,1485756
2,joint,C02-T021,256,0,121,512,3.1064979815855622,1485756
2,joint,C02-T022,256,0,120,512,3.1197873735800385,1485756
2,joint,C02-T023,256,0,115,512,3.1343870889395475,1485756
2,joint,C02-T024,256,0,122,512,3.139694263227284,1485756
2,joint,C02-T025,256,0,127,512,3.161225768737495,1485756
2,joint,C02-T026,256,0,132,512,3.1519507793709636,1485756
2,joint,C02-T027,256,0,130,512,3.0996337458491325,1485756
2,joint,C02-T028,256,0,132,512,3.0616304697468877,1485756
2,joint,C02-T029,256,0,134,512,3.108800952322781,1485756
2,joint,C02-T030,256,0,135,512,3.0864836033433676,1485756
2,joint,C02-T031,256,0,135,512,3.087868514470756,1485756
4,joint,C04-T000,256,0,247,1024,5.0131989819929,1485756
4,joint,C04-T001,256,0,248,1024,4.979209017939866,1486524
4,joint,C04-T002,256,0,246,1024,5.02871244866401,1486524
4,joint,C04-T003,256,0,243,1024,5.024486370384693,1486524
4,joint,C04-T004,256,0,242,1024,5.031079567037523,1486524
4,joint,C04-T005,256,0,240,1024,4.954002162441611,1486524
4,joint,C04-T006,256,0,240,1024,5.039818390272558,1486524
4,joint,C04-T007,256,0,244,1024,5.080032665282488,1486524
4,joint,C04-T008,256,0,246,1024,5.021747374907136,1486524
4,joint,C04-T009,256,0,244,1024,4.9872372122481465,1486524
4,joint,C04-T010,256,0,250,1024,5.049866288900375,1486524
4,joint,C04-T011,256,0,245,1024,5.055564817041159,1486524
4,joint,C04-T012,256,0,242,1024,5.061542773619294,1486524
4,joint,C04-T013,256,0,245,1024,5.1790017215535045,1486524
4,joint,C04-T014,256,0,247,1024,5.038025928661227,1486524
4,joint,C04-T015,256,0,242,1024,5.021391432732344,1486524
4,joint,C04-T016,256,0,246,1024,5.070980034768581,1486524
4,joint,C04-T017,256,0,240,1024,4.994649481028318,1486524
4,joint,C04-T018,256,0,243,1024,4.950519916601479,1486524
4,joint,C04-T019,256,0,244,1024,5.076125344261527,1489084
4,joint,C04-T020,256,0,245,1024,5.050213827751577,1489084
4,joint,C04-T021,256,0,247,1024,5.0725391786545515,1489084
4,joint,C04-T022,256,0,243,1024,5.022284043952823,1489084
4,joint,C04-T023,256,0,243,1024,5.0123617965728045,1489084
4,joint,C04-T024,256,0,243,1024,4.988752393051982,1489084
4,joint,C04-T025,256,0,248,1024,4.943434006534517,1489084
4,joint,C04-T026,256,0,244,1024,4.968708297237754,1489084
4,joint,C04-T027,256,0,248,1024,4.994763536378741,1489084
4,joint,C04-T028,256,0,246,1024,5.00517543964088,1489084
4,joint,C04-T029,256,0,246,1024,5.100377209484577,1489084
4,joint,C04-T030,256,0,239,1024,4.995318062603474,1489084
4,joint,C04-T031,256,0,243,1024,5.048879556357861,1489084
