case,variant,stage,loss,pitch_mae_cents,onset_mae_ms,joint_event_error,relative_waveform_l2,best_update,updates,wall_seconds
C06-T0000,uniform_eight,final,0.00697318154902263,40.99539657639058,76.37463463402905,0.05335998689164879,1.1575304416114478,2082,2400,181.76813312247396
C06-T0000,diagonal_control,baseline,0.00724561023274041,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223014,0,2400,172.55909204110503
C06-T0000,diagonal_control,exploration_endpoint,0.0075642935211357966,193.65215167942327,124.92341102089752,0.11269717959293414,1.2773855430633925,0,2400,172.55909204110503
C06-T0000,diagonal_control,last,0.011147240920421015,205.5291254590335,92.22115235310629,0.11182138969627843,1.263464232440168,0,2400,172.55909204110503
C06-T0000,diagonal_control,final,0.00724561023274041,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223014,0,2400,172.55909204110503
C06-T0008,clockwise,baseline,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,158.74000170081854
C06-T0008,clockwise,exploration_endpoint,0.0240016271896182,367.959979970029,213.66568959647165,0.2294961799518457,1.3798150235507067,0,2400,158.74000170081854
C06-T0008,clockwise,last,0.023324430946812517,211.36441092838345,284.4727042578896,0.22197190742900108,1.425729533142597,0,2400,158.74000170081854
C06-T0008,clockwise,final,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,158.74000170081854
C06-T0008,uniform_eight,baseline,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,150.30996982753277
C06-T0008,uniform_eight,exploration_endpoint,0.02887838144192985,339.62009618954283,213.98948437291014,0.21249451957262008,1.555974083355785,0,2400,150.30996982753277
C06-T0008,uniform_eight,last,0.023152265085832815,183.87957838144828,242.40355792085177,0.18957058856065082,1.4412403850961042,0,2400,150.30996982753277
C06-T0008,uniform_eight,final,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,150.30996982753277
C06-T0008,diagonal_control,baseline,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,143.9048189073801
C06-T0008,diagonal_control,exploration_endpoint,0.02080598965339642,416.77526945898995,268.7702143013394,0.2560508492143681,1.4889272979406636,0,2400,143.9048189073801
C06-T0008,diagonal_control,last,0.022510473553844723,419.3172982956825,289.8868156720241,0.2702759591868447,1.399570581696217,0,2400,143.9048189073801
C06-T0008,diagonal_control,final,0.015575770851020423,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294,0,2400,143.9048189073801
C08-T0000,clockwise,baseline,0.007360697347433053,15.798138627157433,48.29996216552407,0.033943068273245856,1.4799508508056884,1127,2400,162.92181679606438
C08-T0000,clockwise,exploration_endpoint,0.04005874437278021,171.79361483007688,136.59827742689606,0.13166245846838698,1.3980553428256237,1127,2400,162.92181679606438
C08-T0000,clockwise,last,0.017662521630137866,255.43738849044382,130.30679963741954,0.1435480534479408,1.445569382249658,1127,2400,162.92181679606438
C08-T0000,clockwise,final,0.0003531089368453001,1.4726031022766204,0.33415557411595187,0.0006957439205812626,0.5371000019014779,1127,2400,162.92181679606438
C08-T0000,uniform_eight,baseline,0.007360697347433053,15.798138627157433,48.29996216552407,0.033943068273245856,1.4799508508056884,467,2400,154.1672708131373
C08-T0000,uniform_eight,exploration_endpoint,0.044897140059490706,216.52848382562928,171.3003730409806,0.1585738305294312,1.4389650886260423,467,2400,154.1672708131373
