events,condition,candidates_per_target,targets,loss,metric,mean,sd,median
2,pitch,512,32,single_stft,original_coordinate_drift,0.7977571303935362,0.07704402797201737,0.8036167565314167
2,pitch,512,32,linear_mss,original_coordinate_drift,0.9518962958294788,0.015349679337970788,0.9520459674034158
2,pitch,512,32,smooth_mss,original_coordinate_drift,0.9639380912447396,0.01029465095537015,0.9644805014679093
2,pitch,512,32,sot_published_composite,original_coordinate_drift,0.9994785247002267,0.002150092627766514,0.9999947831030199
2,pitch,512,32,linear_jtfot,original_coordinate_drift,0.9748405974405229,0.01309703529440332,0.9782366757442157
2,pitch,512,32,log_jtfot,original_coordinate_drift,0.955585661320649,0.017514985867923657,0.9587944568714153
2,pitch,512,32,bidirectional_cumulative_energy,original_coordinate_drift,0.7463470526764273,0.10790434441076774,0.7558579229233964
2,pitch,512,32,log_quadrature_bicul,original_coordinate_drift,0.7303657329381061,0.11359869236161665,0.742573259221471
2,pitch,512,32,fading,original_coordinate_drift,0.7667648010048699,0.0720252807656308,0.76573905824284
4,pitch,256,32,waveform_l1,both_directed,0.42169189453125,0.06433341953684758,0.419921875
4,pitch,256,32,waveform_mse,both_directed,0.397430419921875,0.09763371853702359,0.3828125
4,pitch,256,32,single_stft,both_directed,0.485687255859375,0.05318838858206501,0.478515625
4,pitch,256,32,linear_mss,both_directed,0.50439453125,0.058079586329378964,0.50537109375
4,pitch,256,32,smooth_mss,both_directed,0.548828125,0.06762548889088976,0.54443359375
4,pitch,256,32,sot_published_composite,both_directed,0.5592041015625,0.05937905678223782,0.56396484375
4,pitch,256,32,linear_jtfot,both_directed,0.49749755859375,0.0635169873119703,0.49853515625
4,pitch,256,32,log_jtfot,both_directed,0.522979736328125,0.06949658222652048,0.51416015625
4,pitch,256,32,bidirectional_cumulative_energy,both_directed,0.607818603515625,0.0724551800337,0.58984375
4,pitch,256,32,log_quadrature_bicul,both_directed,0.616912841796875,0.07116369263955301,0.59326171875
4,pitch,256,32,fading,both_directed,0.6593017578125,0.07531723283314098,0.65234375
4,pitch,256,32,waveform_l1,pitch_directed,0.547943115234375,0.06025368383361257,0.55224609375
4,pitch,256,32,waveform_mse,pitch_directed,0.521453857421875,0.1130734405676996,0.54150390625
4,pitch,256,32,single_stft,pitch_directed,0.602783203125,0.048094283914248005,0.60546875
4,pitch,256,32,linear_mss,pitch_directed,0.632293701171875,0.038492074016329154,0.630859375
4,pitch,256,32,smooth_mss,pitch_directed,0.680816650390625,0.04073422376028588,0.671875
4,pitch,256,32,sot_published_composite,pitch_directed,0.685546875,0.06268823641419116,0.67236328125
4,pitch,256,32,linear_jtfot,pitch_directed,0.64520263671875,0.05339034263120371,0.64404296875
4,pitch,256,32,log_jtfot,pitch_directed,0.68603515625,0.04764958763252731,0.6796875
4,pitch,256,32,bidirectional_cumulative_energy,pitch_directed,0.779296875,0.06020957523391766,0.77099609375
4,pitch,256,32,log_quadrature_bicul,pitch_directed,0.79437255859375,0.06078720426762632,0.78857421875
4,pitch,256,32,fading,pitch_directed,0.820037841796875,0.06564736373423948,0.814453125
4,pitch,256,32,waveform_l1,time_directed,0.4946451432201231,0.12401466525301885,0.4846736762337785
4,pitch,256,32,waveform_mse,time_directed,0.4925595625980351,0.1399404545950224,0.4710336538461538
4,pitch,256,32,single_stft,time_directed,0.5339813637526569,0.07358555246678138,0.5307002744409953
4,pitch,256,32,linear_mss,time_directed,0.5129498927794292,0.11629337899769301,0.5039642537122376
4,pitch,256,32,smooth_mss,time_directed,0.5130069468884759,0.12967170345367005,0.5264729449472096
4,pitch,256,32,sot_published_composite,time_directed,0.5079557412287015,0.1264242464416995,0.4876443268033572
4,pitch,256,32,linear_jtfot,time_directed,0.5012987927982695,0.08464116141253128,0.506439554988662
