profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_051_lw,↗ ↘ ↑ ↓ + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_052,↖ ↑ ↓,97.02222333533695,-0.16129032258064557
structured,isolated_pitch,pitch_directed,cel8_052_lw,↖ ↑ ↓ + LW,99.02875175315567,1.8452380952380942
structured,isolated_pitch,pitch_directed,cel8_053,↗ ↖ ↑ ↓,97.02222333533695,-0.16129032258064557
structured,isolated_pitch,pitch_directed,cel8_053_lw,↗ ↖ ↑ ↓ + LW,98.94810659186535,1.7645929339477702
structured,isolated_pitch,pitch_directed,cel8_054,↘ ↖ ↑ ↓,97.45137080077473,0.2678571428571447
structured,isolated_pitch,pitch_directed,cel8_054_lw,↘ ↖ ↑ ↓ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_055,↗ ↘ ↖ ↑ ↓,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_055_lw,↗ ↘ ↖ ↑ ↓ + LW,99.29873772791025,2.1152240699926494
structured,isolated_pitch,pitch_directed,cel8_056,↙ ↑ ↓,98.75609430307888,1.5725806451612896
structured,isolated_pitch,pitch_directed,cel8_056_lw,↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_057,↗ ↙ ↑ ↓,97.71058739063648,0.5270737327188968
structured,isolated_pitch,pitch_directed,cel8_057_lw,↗ ↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_058,↘ ↙ ↑ ↓,98.98383757430041,1.8003239163828177
structured,isolated_pitch,pitch_directed,cel8_058_lw,↘ ↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_059,↗ ↘ ↙ ↑ ↓,97.97844453349363,0.7949308755760359
structured,isolated_pitch,pitch_directed,cel8_059_lw,↗ ↘ ↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_060,↖ ↙ ↑ ↓,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_060_lw,↖ ↙ ↑ ↓ + LW,99.35133239831697,2.1678187403993827
structured,isolated_pitch,pitch_directed,cel8_061,↗ ↖ ↙ ↑ ↓,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_061_lw,↗ ↖ ↙ ↑ ↓ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_062,↘ ↖ ↙ ↑ ↓,97.7912325519268,0.6077188940092182
structured,isolated_pitch,pitch_directed,cel8_062_lw,↘ ↖ ↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_063,↗ ↘ ↖ ↙ ↑ ↓,97.35344453349362,0.16993087557603814
structured,isolated_pitch,pitch_directed,cel8_063_lw,↗ ↘ ↖ ↙ ↑ ↓ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_064,→,93.1622921258265,-4.021221532091099
structured,isolated_pitch,pitch_directed,cel8_064_lw,→ + LW,94.63890002003606,-2.5446136378815263
structured,isolated_pitch,pitch_directed,cel8_065,↗ →,97.62130167635075,0.4377880184331773
structured,isolated_pitch,pitch_directed,cel8_065_lw,↗ → + LW,99.6159420289855,2.4324283710679184
structured,isolated_pitch,pitch_directed,cel8_066,↘ →,97.93214557035998,0.7486319124423962
