loss,label,cardinality,metric,n,mean,sample_std,q1,median,q3
smooth_mss,SmoMSS,1,pitch_mae_cents,150,244.37328881935105,465.9257071663234,0.30840460404681913,1.6422435183254036,77.02723730311334
smooth_mss,SmoMSS,1,onset_mae_ms,150,75.05539885162104,212.68342046110672,0.08281685553479523,0.594931832404999,7.766011495903127
smooth_mss,SmoMSS,1,log_spectral_distance_db,150,5.4849765291227435,6.115347762238805,0.5186486365352183,2.533168664294922,10.481037697186817
smooth_mss,SmoMSS,2,pitch_mae_cents,150,335.22516900336495,313.91836186520567,6.599125472951728,311.9561671008042,599.7247323725225
smooth_mss,SmoMSS,2,onset_mae_ms,150,161.28874209380717,211.28638353100982,3.8358933983292585,23.11484952126365,338.50314741043087
smooth_mss,SmoMSS,2,log_spectral_distance_db,150,11.084402551151534,5.343307983478436,7.595218628529395,10.360344063504535,16.031723443898226
smooth_mss,SmoMSS,4,pitch_mae_cents,150,385.72707528548517,199.43803456380382,245.75956367492992,348.55279193625654,530.2071946280391
smooth_mss,SmoMSS,4,onset_mae_ms,150,204.34313030046582,126.10427308824865,100.21641580681882,194.01410904145257,278.954317015078
smooth_mss,SmoMSS,4,log_spectral_distance_db,150,17.600820860583905,3.212882208491051,15.890292948122308,17.72556370229814,19.664547843014688
smooth_mss,SmoMSS,6,pitch_mae_cents,150,374.43376391012794,156.75065661674884,264.7268550018647,366.7454157536083,468.9404637257778
smooth_mss,SmoMSS,6,onset_mae_ms,150,205.30978845476574,92.4255584790329,146.33963205524498,195.23083563415406,258.4277944260215
smooth_mss,SmoMSS,6,log_spectral_distance_db,150,19.90960702384856,2.5920798727263423,18.006958285650065,20.285078135451702,21.615181968441608
smooth_mss,SmoMSS,8,pitch_mae_cents,150,367.60086621171894,145.3631605096699,265.90964519766635,359.5547316332554,444.1832325379499
smooth_mss,SmoMSS,8,onset_mae_ms,150,180.73908384020854,79.8373954025025,114.71777361496204,175.43218182359348,231.36457215820317
smooth_mss,SmoMSS,8,log_spectral_distance_db,150,20.561617888959464,2.6745141360614615,18.638256683569573,20.43512903508983,22.356703317331547
