cardinality,target_index,log_spectral_distance_db
8,40,30.561059220575864
8,41,27.531495097232806
8,42,27.897930311982424
8,43,29.089960440580228
8,44,27.595570067635556
8,45,34.72171442571607
8,46,31.113724527160016
8,47,32.52273501324378
8,48,25.71400195463421
8,49,32.68836134373983
8,50,29.151223065471434
8,51,27.244169013296233
8,52,27.486153793165364
8,53,27.419723755009763
8,54,31.26519126775069
8,55,29.847935885453925
8,56,27.901429897377522
8,57,30.247155569364786
8,58,27.96888250253059
8,59,31.297929716396755
8,60,28.37847994490428
8,61,26.46670575535301
8,62,27.125542734030308
8,63,32.17607234330325
8,64,31.21389286173123
8,65,31.20202790986003
8,66,28.78314629515846
8,67,29.404454348543396
8,68,31.879122993350446
8,69,27.91404108541776
8,70,30.10126546856213
8,71,27.36703027577111
8,72,27.86430851096566
8,73,30.18504548197051
8,74,29.822794005914844
8,75,24.533025899531143
8,76,29.636198726223025
8,77,30.37591906454106
8,78,28.52416823731565
8,79,28.973353773386215
8,80,32.318651608592255
8,81,25.714441805419902
8,82,27.305492509954522
8,83,25.035918182566046
8,84,27.305581117083538
8,85,26.580764475437384
8,86,29.180057460977064
8,87,31.657830138300756
8,88,26.071174766835096
8,89,30.709771673717317
8,90,27.424597402714287
8,91,28.943085165087023
8,92,26.369389660240383
8,93,30.28449815822832
8,94,26.736343463110924
8,95,28.85285787282423
8,96,30.645756290577864
8,97,27.919667348607287
8,98,32.320624215087605
8,99,29.820587547867145
8,100,25.72699419311948
8,101,32.02755252727896
8,102,31.798118771645516
8,103,30.50925204254203
8,104,33.9077311788335
8,105,26.66266758102259
8,106,27.6644519093888
8,107,30.132771050417595
8,108,33.30294266896234
8,109,25.61604772655292
8,110,32.291891595444014
8,111,30.770858258310103
8,112,31.981881007386367
8,113,28.705338732550683
8,114,29.04270999347408
8,115,27.661368251887865
8,116,27.259450121498475
8,117,30.904754867536923
8,118,31.26370734193849
8,119,28.992195105950447
8,120,30.144747407807657
8,121,33.27756795983164
8,122,24.541426077260844
8,123,31.268246830718272
8,124,30.49651982544153
8,125,28.745715182751873
8,126,26.016055325940236
8,127,33.95629424904306
8,128,32.23813500667092
8,129,28.626279756014792
8,130,33.87862049309572
8,131,29.47749881356742
8,132,29.09285599351474
8,133,28.056007138678297
8,134,27.758483076930553
8,135,31.15305257164861
8,136,28.1107755259385
8,137,27.72590234958574
8,138,28.543129627829572
8,139,26.340478305490294
8,140,27.025721192167286
8,141,24.988291608951357
8,142,31.281195088428703
8,143,31.380569747377564
8,144,26.27121607023111
8,145,28.128251065512433
8,146,27.577349917708617
8,147,28.36978134272138
8,148,27.869614663010303
8,149,29.35022633167851
