target_id,mode,variant,baseline_pitch_mae_cents,baseline_onset_mae_ms,baseline_joint_error,pitch_mae_change,onset_mae_change,joint_error_change
C06-T0008,plateau,2oct,310.8598838027,216.15059496405954,0.23973662217600117,7.734811958177033,33.81404934671855,0.05226651066885113
C06-T0008,plateau,4oct,310.8598838027,216.15059496405954,0.23973662217600117,-1.6175950611269059,-1.0153569517755727,0.010720071792703567
C06-T0008,fresh,1000hz,310.8598838027,216.15059496405954,0.23973662217600117,-214.87297474341113,-15.122535906807883,-0.020833188311205647
C06-T0008,fresh,2oct,310.8598838027,216.15059496405954,0.23973662217600117,-19.32260137225444,-38.77585497972149,0.03821851536523746
C06-T0008,fresh,4oct,310.8598838027,216.15059496405954,0.23973662217600117,-60.136222309956366,-36.58646102574937,0.030629824512270976
C08-T0000,plateau,1000hz,15.798138627157433,48.29996216552407,0.073773013573794,-0.2981497664049062,0.7441236649249348,-0.0026103960676074067
C08-T0000,plateau,2oct,15.798138627157433,48.29996216552407,0.073773013573794,-15.74073962809818,-48.27066432591509,-0.07372566943824203
C08-T0000,plateau,4oct,15.798138627157433,48.29996216552407,0.073773013573794,4.388427095106183,-29.830367513113913,-0.048539475824364534
C08-T0000,fresh,1000hz,15.798138627157433,48.29996216552407,0.073773013573794,-15.713907457785517,-48.27488062356217,-0.07371894697113505
C08-T0000,fresh,2oct,15.798138627157433,48.29996216552407,0.073773013573794,3.976817785488892,3.110046287487087,-0.030946285295181467
C08-T0000,fresh,4oct,15.798138627157433,48.29996216552407,0.073773013573794,-4.199883553491414,-27.53574130302433,-0.0483470723449083
C08-T0004,plateau,1000hz,178.12344793934273,159.58251111970097,0.21168831065603055,-22.220963043760747,15.46656747778465,0.009443619726330454
C08-T0004,plateau,2oct,178.12344793934273,159.58251111970097,0.21168831065603055,-45.2285992149107,10.759105289031055,-0.015330921621017096
C08-T0004,plateau,4oct,178.12344793934273,159.58251111970097,0.21168831065603055,-68.49711979383102,11.263025313133909,-0.01545313664485104
C08-T0004,fresh,1000hz,178.12344793934273,159.58251111970097,0.21168831065603055,20.98141409102442,143.6098107294222,0.03360171387313027
C08-T0004,fresh,2oct,178.12344793934273,159.58251111970097,0.21168831065603055,57.85595663830378,-11.806212325329426,0.005570828275587442
C08-T0004,fresh,4oct,178.12344793934273,159.58251111970097,0.21168831065603055,59.59766558552133,163.934918538338,0.08365268622946126
