scope,mode,variant,metric,n,mean,std,median,recovered
all_seven,fresh,1000hz,joint_event_error,7,0.12988188151800253,0.09294012612550968,0.16034548746704524,1
all_seven,fresh,1000hz,log_spectral_distance_db,7,10.135880919218222,5.7493391215232625,10.035804749722002,1
all_seven,fresh,1000hz,updates,7,1075.4285714285713,898.6691747880784,700.0,1
all_seven,fresh,1000hz,wall_seconds,7,68.26373921201697,59.53657563443484,42.57687402702868,1
all_seven,fresh,2oct,pitch_mae_cents,7,192.44873118120105,132.200440774042,235.9794045776465,0
all_seven,fresh,2oct,onset_mae_ms,7,136.34703204966038,117.8824431625439,145.8399390919025,0
all_seven,fresh,2oct,joint_event_error,7,0.2062498525930398,0.11213188524987851,0.219673990858292,0
all_seven,fresh,2oct,log_spectral_distance_db,7,13.413855773290036,4.497446650671495,12.714407466153927,0
all_seven,fresh,2oct,updates,7,1167.0,426.14316843051705,1271.0,0
all_seven,fresh,2oct,wall_seconds,7,71.45258221269718,25.752843770350754,78.97428910061717,0
all_seven,fresh,4oct,pitch_mae_cents,7,137.68807857666957,106.23186600102936,167.98222042184494,1
all_seven,fresh,4oct,onset_mae_ms,7,107.27003004602841,124.70457856902749,30.597849948982198,1
all_seven,fresh,4oct,joint_event_error,7,0.1627231730039578,0.11453476631426662,0.17615232744973622,1
all_seven,fresh,4oct,log_spectral_distance_db,7,10.157499319400646,7.257726448630212,11.428796585099686,1
all_seven,fresh,4oct,updates,7,1423.4285714285713,472.79342111287787,1326.0,1
all_seven,fresh,4oct,wall_seconds,7,84.25078099220991,20.940473683989673,90.75582437776029,1
other_five,plateau,1000hz,pitch_mae_cents,5,256.20600733685893,145.89695123246997,184.28863696482256,0
other_five,plateau,1000hz,onset_mae_ms,5,149.03320799271813,51.3023952369957,143.75553680772344,0
other_five,plateau,1000hz,joint_event_error,5,0.24271882011831752,0.0966209453797988,0.221131930382361,0
other_five,plateau,1000hz,log_spectral_distance_db,5,14.110431587983646,2.96052527102767,13.164944337052084,0
other_five,plateau,1000hz,updates,5,522.2,331.28039483193083,481.0,0
other_five,plateau,1000hz,wall_seconds,5,33.41176861263811,24.737009810606242,26.636164097115397,0
other_five,plateau,2oct,pitch_mae_cents,5,232.17007279150556,172.6093280688616,204.57941803751632,0
other_five,plateau,2oct,onset_mae_ms,5,153.60043691873997,62.33623537509391,147.02119189024168,0
other_five,plateau,2oct,joint_event_error,5,0.23565080961232826,0.11400821835305586,0.2231440712743516,0
other_five,plateau,2oct,log_spectral_distance_db,5,15.490184871085484,2.4413687162950333,14.621801720851629,0
other_five,plateau,2oct,updates,5,942.6,334.9735810478193,895.0,0
other_five,plateau,2oct,wall_seconds,5,55.00950641110539,19.328481035231864,49.711355747655034,0
other_five,plateau,4oct,pitch_mae_cents,5,266.93607142562075,139.69132276773936,220.6826179465164,0
other_five,plateau,4oct,onset_mae_ms,5,145.6706487170273,51.81552164430808,145.81063818930667,0
other_five,plateau,4oct,joint_event_error,5,0.24814278427617262,0.08156651295296034,0.2317793917857074,0
other_five,plateau,4oct,log_spectral_distance_db,5,14.11441334270037,3.1002681847686504,14.781264673529364,0
other_five,plateau,4oct,updates,5,865.4,205.09583125943834,866.0,0
other_five,plateau,4oct,wall_seconds,5,54.45016458183527,16.8063460833595,55.61023283936083,0
other_five,fresh,1000hz,pitch_mae_cents,5,152.8026363065443,63.5897169682254,194.13825864727494,0
other_five,fresh,1000hz,onset_mae_ms,5,118.71124310664717,130.74789265125156,80.2618232967468,0
other_five,fresh,1000hz,joint_event_error,5,0.16908821796115345,0.07566918892069449,0.17234601696791182,0
other_five,fresh,1000hz,log_spectral_distance_db,5,11.723876053005272,5.003794573766284,10.035804749722002,0
other_five,fresh,1000hz,updates,5,814.0,323.5428874198906,700.0,0
other_five,fresh,1000hz,wall_seconds,5,51.82221373543143,27.33820073724742,42.57687402702868,0
other_five,fresh,2oct,pitch_mae_cents,5,263.64888732065083,63.422008163757404,268.41941087136576,0
other_five,fresh,2oct,onset_mae_ms,5,167.7997109561145,128.43857040788504,147.77629879437154,0
other_five,fresh,2oct,joint_event_error,5,0.2678279161778902,0.04718098391742363,0.27795513754123863,0
other_five,fresh,2oct,log_spectral_distance_db,5,13.148322013317165,5.2735793742579595,12.714407466153927,0
other_five,fresh,2oct,updates,5,1275.8,417.9757169980094,1276.0,0
